,BTC,MSTR,VIX,DXY,TNX,mnav,premium,premium_sma_7,premium_sma_14,premium_sma_30,premium_mean_90,premium_std_90,premium_zscore,macro_pressure_idx,target
2021-07-17,31533.068359375,49.87200164794922,22.5,92.88999938964844,1.180999994277954,64.11936868265578,-0.2222006755122724,-0.2222006755122724,-0.2222006755122724,-0.2222006755122724,-0.2222006755122724,0.0001,0.0,1.4202499985694885,1
2021-07-18,31796.810546875,49.87200164794922,22.5,92.88999938964844,1.180999994277954,64.78582690458128,-0.23020197424658395,-0.22620132487942818,-0.22620132487942818,-0.22620132487942818,-0.22620132487942818,0.005657772593331034,-0.7071067811865476,1.4202499985694885,1
2021-07-19,30817.83203125,49.87200164794922,22.5,92.88999938964844,1.180999994277954,62.312016070557206,-0.19964069864987033,-0.2173477828029089,-0.2173477828029089,-0.2173477828029089,-0.2173477828029089,0.01584805405281721,1.117303366963901,1.4202499985694885,1
2021-07-20,29807.34765625,50.178001403808594,19.729999542236328,92.97000122070312,1.2089999914169312,59.758592114270314,-0.16032155998825615,-0.2030912270992457,-0.2030912270992457,-0.2030912270992457,-0.2030912270992457,0.03131194767125295,1.3659216462684556,1.2887499749660491,1
2021-07-21,32110.693359375,55.694000244140625,17.90999984741211,92.75,1.2799999713897705,65.57898700951037,-0.15073405699200892,-0.19261979307779836,-0.19261979307779836,-0.19261979307779836,-0.19261979307779836,0.035827129421055884,1.169106673145096,1.2154999852180481,1
2021-07-22,32313.10546875,55.59400177001953,17.690000534057617,92.81999969482422,1.2649999856948853,66.09046837617741,-0.15881967345750236,-0.186986439807749,-0.186986439807749,-0.186986439807749,-0.186986439807749,0.034889462254863196,0.8073144304859705,1.2007500231266022,1
2021-07-23,33581.55078125,53.97100067138672,17.200000762939453,92.91000366210938,1.2860000133514404,69.29574173646793,-0.2211498236552728,-0.1918669232145381,-0.1918669232145381,-0.1918669232145381,-0.1918669232145381,0.034367561862152465,-0.8520505632080556,1.1815000414848327,1
2021-07-24,34292.4453125,53.97100067138672,17.200000762939453,92.91000366210938,1.2860000133514404,71.09212292889072,-0.2408300885124679,-0.19452826792885178,-0.19798731887677934,-0.19798731887677934,-0.19798731887677934,0.036222513641551324,-1.182766333105692,1.1815000414848327,1
2021-07-25,35350.1875,53.97100067138672,17.200000762939453,92.91000366210938,1.2860000133514404,73.7649641008661,-0.2683382778091391,-0.1999763112949311,-0.20580409209148598,-0.20580409209148598,-0.20580409209148598,0.04120654285559177,-1.5175790392512185,1.1815000414848327,1
2021-07-26,37337.53515625,68.25,17.579999923706055,92.6500015258789,1.2760000228881836,78.78685384056578,-0.13373873085335164,-0.190561744466857,-0.19859755596767256,-0.19859755596767256,-0.19859755596767256,0.045040608904289285,1.4400077328471534,1.1980000019073487,1
2021-07-27,39406.94140625,63.06100082397461,19.360000610351562,92.43000030517578,1.2339999675750732,84.01609995734995,-0.24941766094847317,-0.20328975888974513,-0.2032175655113817,-0.2032175655113817,-0.2032175655113817,0.04539361381786901,-1.017766411426468,1.2765000224113465,1
